-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            triton_red_fused_rms_norm_0         0.06%      63.530us         0.08%      85.879us      28.626us      22.945us         0.02%      22.945us       7.648us             3  
                            triton_red_fused_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      22.945us         0.02%      22.945us       7.648us             3  
                                            aten::index         0.11%     119.917us         0.18%     193.994us      21.555us      21.471us         0.02%      21.471us       2.386us             9  
                                           aten::gather         0.07%      76.207us         0.10%     109.802us      18.300us      20.673us         0.02%      20.673us       3.446us             6  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      16.032us         0.02%      16.032us       5.344us             3  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.487us         0.01%      15.487us       5.162us             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      14.976us         0.01%      14.976us       4.992us             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      13.537us         0.01%      13.537us       2.256us             6  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.01%      12.000us       4.000us             3  
                                           aten::argmax         0.04%      38.960us         0.05%      55.164us      18.388us      11.393us         0.01%      11.393us       3.798us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.393us         0.01%      11.393us       3.798us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.368us         0.01%      10.368us       3.456us             3  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.985us         0.01%       9.985us       3.328us             3  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.312us         0.01%       9.312us       3.104us             3  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.456us         0.01%       7.456us       2.485us             3  
                                            aten::fill_         0.06%      70.680us         0.11%     118.245us       6.569us       6.656us         0.01%       6.656us       0.370us            18  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.656us         0.01%       6.656us       2.219us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.464us         0.01%       6.464us       2.155us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.599us         0.01%       5.599us       1.866us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.504us         0.01%       5.504us       1.835us             3  
                                              aten::div         0.03%      37.793us         0.05%      52.311us      17.437us       5.153us         0.00%       5.153us       1.718us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.153us         0.00%       5.153us       1.718us             3  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       4.641us         0.00%       4.641us       1.547us             3  
                                             aten::tanh         0.02%      21.335us         0.03%      35.544us      11.848us       4.416us         0.00%       4.416us       1.472us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.416us         0.00%       4.416us       1.472us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.384us         0.00%       4.384us       0.731us             6  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.904us         0.00%       3.904us       1.301us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.872us         0.00%       3.872us       1.291us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.272us         0.00%       2.272us       0.757us             3  
                                           aten::arange         0.03%      34.711us         0.11%     120.554us      20.092us       2.049us         0.00%       4.098us       0.683us             6  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.049us         0.00%       2.049us       0.683us             3  
                execute_context_1(2048)_generation_0(0)         6.19%       6.756ms        89.26%      97.461ms      32.487ms       0.000us         0.00%     102.679ms      34.226ms             3  
                                           aten::select         0.06%      63.941us         0.07%      75.763us       1.943us       0.000us         0.00%       0.000us       0.000us            39  
                                       aten::as_strided         0.56%     615.529us         0.56%     615.529us       0.335us       0.000us         0.00%       0.000us       0.000us          1839  
                                            aten::zero_         0.02%      16.642us         0.05%      56.481us       6.276us       0.000us         0.00%       2.176us       0.242us             9  
                                            aten::slice         1.07%       1.163ms         1.44%       1.567ms       1.185us       0.000us         0.00%       0.000us       0.000us          1323  
                                            aten::empty         1.97%       2.148ms         2.24%       2.443ms       3.219us       0.000us         0.00%       0.000us       0.000us           759  
                                Activity Buffer Request         0.24%     265.769us         0.24%     265.769us     265.769us       0.000us         0.00%       0.000us       0.000us             1  
                                         cudaEventQuery         0.07%      73.079us         0.07%      73.079us       2.149us       0.000us         0.00%       0.000us       0.000us            34  
                                               aten::to         0.07%      75.186us         0.50%     549.789us       2.320us       0.000us         0.00%      38.241us       0.161us           237  
                                       aten::lift_fresh         0.00%       2.719us         0.00%       2.719us       0.101us       0.000us         0.00%       0.000us       0.000us            27  
                                          aten::detach_         0.00%       1.509us         0.00%       1.509us       0.126us       0.000us         0.00%       0.000us       0.000us            12  
                                         aten::_to_copy         0.06%      60.164us         0.43%     474.603us      22.600us       0.000us         0.00%      38.241us       1.821us            21  
                                    aten::empty_strided         0.71%     779.092us         0.75%     815.274us       3.939us       0.000us         0.00%       0.000us       0.000us           207  
                                        cudaMemcpyAsync         0.18%     199.171us         0.18%     199.171us       7.377us       0.000us         0.00%       0.000us       0.000us            27  
                                       cuLaunchKernelEx         2.65%       2.897ms         2.65%       2.897ms       3.816us       0.000us         0.00%       0.000us       0.000us           759  
                                       cudaLaunchKernel         1.90%       2.078ms         1.90%       2.078ms       4.198us       0.000us         0.00%       0.000us       0.000us           495  
                                       aten::empty_like         0.23%     249.963us         0.85%     932.551us       5.014us       0.000us         0.00%       0.000us       0.000us           186  
                                       aten::pin_memory         0.01%      12.360us         0.10%     104.095us      17.349us       0.000us         0.00%       0.000us       0.000us             6  
                                        aten::is_pinned         0.02%      18.122us         0.03%      35.898us       5.983us       0.000us         0.00%       0.000us       0.000us             6  
                               cudaPointerGetAttributes         0.02%      17.776us         0.02%      17.776us       2.963us       0.000us         0.00%       0.000us       0.000us             6  
                                      aten::_pin_memory         0.02%      26.003us         0.05%      55.837us       9.306us       0.000us         0.00%       0.000us       0.000us             6  
                                             aten::set_         0.01%       9.401us         0.01%       9.401us       1.567us       0.000us         0.00%       0.000us       0.000us             6  
                                          aten::resize_         0.02%      23.306us         0.02%      23.306us       3.884us       0.000us         0.00%       0.000us       0.000us             6  
                                            aten::zeros         0.01%      16.209us         0.05%      59.753us       9.959us       0.000us         0.00%       2.176us       0.363us             6  
                                           aten::unbind         0.02%      22.332us         0.04%      42.139us      14.046us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::max         0.01%      15.513us         0.02%      23.775us       7.925us       0.000us         0.00%       0.000us       0.000us             3  
                                             aten::item         0.01%       5.557us         0.01%       7.298us       2.433us       0.000us         0.00%       0.000us       0.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 109.183ms
Self CUDA time total: 103.901ms

